smsa,year,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation,states,primary_state,adoption_year,event_year,treat
"PHILADELPHIA, PA-NJ",1967,28188,28188,12416,788,91,14893,0,760,297007,297007,188749,4648,664,102947,0,PA-NJ,PA,1989,-22,0
"PHOENIX, ARIZ",1967,7629,7629,4942,296,256,2135,0,180,78960,78960,60929,2669,2119,13243,0,AZ,AZ,Inf,-Inf,0
"PINE BLUFF, ARK",1967,566,566,232,24,11,299,0,31,4621,4621,2264,115,35,2207,0,AR,AR,Inf,-Inf,0
"PITTSBURGH, PA",1967,11061,10741,5736,144,1281,3580,320,171,140102,135299,101158,1503,3566,29073,4803,PA,PA,Inf,-Inf,0
"PITTSFIELD, MASS",1967,300,300,208,0,0,92,0,7,4654,4654,3979,0,0,675,0,MA,MA,1977,-10,0
"PORTLAND, MAINE",1967,826,626,456,22,4,144,200,6,12393,9525,7532,163,65,1766,2868,MN,MN,1973,-6,0
"PORTLAND, OREG-WASH",1967,9593,9593,5083,676,712,3122,0,327,124492,124492,87137,5810,5789,25756,0,OR-WA,OR,1971,-4,0
"PROVIDENCE-PAWTUCKET-WARWICK, RI-MASS",1967,4608,4230,3230,84,20,896,378,62,56595,51217,44160,688,112,6257,5378,RI-MA,RI,1977,-10,0
"PROVO-OREM, UTAH",1967,987,987,535,110,122,220,0,16,10755,10755,7660,742,772,1581,0,UT,UT,Inf,-Inf,0
"PUEBLO, COLO",1967,460,460,306,38,0,116,0,9,4441,4441,3455,319,0,667,0,CO,CO,Inf,-Inf,0
"RACINE, WIS",1967,887,887,675,60,30,122,0,6,15389,15389,13492,835,257,805,0,WI,WI,1972,-5,0
"READING, PA",1967,1097,1097,616,14,4,463,0,29,12851,12851,9851,116,48,2836,0,PA,PA,Inf,-Inf,0
"RENO, NEV",1967,559,559,409,6,11,133,0,13,10719,10719,9018,60,89,1553,0,NV,NV,Inf,-Inf,0
"RICHMOND, VA",1967,5640,5640,2729,24,508,2379,0,273,51729,51729,37960,131,2036,11601,0,VA,VA,1973,-6,0
"ROANOKE, VA",1967,2036,1931,1048,54,4,825,105,36,20613,19043,13538,312,24,5168,1570,VA,VA,1973,-6,0
"ROCHESTER, NY",1967,7016,7004,3892,158,60,2894,12,176,113627,113403,83871,1456,373,27703,224,NY,NY,1975,-8,0
"ROCKFORD, ILL",1967,3469,3207,1452,206,116,1433,262,106,43597,40344,24153,2261,1008,12922,3253,IL,IL,Inf,-Inf,0
"SACRAMENTO, CALIF",1967,5463,5463,3335,198,173,1757,0,107,72992,72992,55379,2198,1576,13838,0,CA,CA,1970,-3,0
"SAGINAW, MICH",1967,1599,1599,1074,62,65,398,0,49,23044,23044,17992,661,598,3794,0,MI,MI,Inf,-Inf,0
"ST JOSEPH, MO",1967,247,247,207,40,0,0,0,0,2943,2943,2625,318,0,0,0,MO,MO,Inf,-Inf,0
"ST LOUIS, MO-ILL",1967,12776,12776,8521,286,741,3228,0,255,192056,192056,157025,3261,6059,25712,0,MO-IL,MO,Inf,-Inf,0
