smsa,year,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation,states,primary_state,adoption_year,event_year,treat
"SALEM, OREG",1967,1500,1500,794,70,174,462,0,53,16558,16558,11958,626,1333,2642,0,OR,OR,Inf,-Inf,0
"SALINAS-SEASIDE-MONTEREY, CALIF",1967,1333,1333,937,110,110,176,0,18,25016,25016,20089,1955,1455,1517,0,CA,CA,1970,-3,0
"SAN ANGELO, TEX",1967,436,436,250,6,0,180,0,23,4135,4135,3035,15,0,1085,0,TX,TX,Inf,-Inf,0
"SAN ANTONIO, TEX",1967,6901,6901,3266,146,28,3461,0,75,63925,63925,39707,1117,128,22973,0,TX,TX,Inf,-Inf,0
"RIVERSIDE-SAN BERNARDINO-ONTARIO, CALIF",1967,5346,5345,4708,100,94,443,1,42,80349,80317,75686,856,698,3076,33,CA,CA,1970,-3,0
"SAN DIEGO, CALIF",1967,12630,12630,6508,490,276,5356,0,394,170366,170366,123737,4612,3052,38965,0,CA,CA,1970,-3,0
"SAN FRANCISCO-OAKLAND, CALIF",1967,15600,15474,8662,484,1023,5305,126,350,273887,272584,190770,7447,11743,62625,1303,CA,CA,1970,-3,0
"SAN JOSE, CALIF",1967,10541,10241,7486,518,742,1495,300,112,185714,180745,151991,7214,7772,13769,4969,CA,CA,1970,-3,0
"SANTA BARBARA-SANTA MARIA-LOMPOC, CALIF",1967,1613,1605,646,118,110,731,8,59,26201,25997,16410,1769,1291,6527,204,CA,CA,1970,-3,0
"SAVANNAH, GA",1967,802,802,666,6,8,122,0,2,7746,7746,6977,23,26,720,0,GA,GA,1991,-24,0
"SCRANTON, PA",1967,517,517,313,2,0,202,0,6,6549,6549,5196,12,0,1341,0,PA,PA,Inf,-Inf,0
"SEATTLE-EVERETT, WASH",1967,27412,27330,12259,444,639,13988,82,851,390886,389642,229502,4736,7250,148154,1244,WA,WA,1971,-4,0
"SHERMAN-DENISON, TEX",1967,789,779,490,56,4,229,10,5,8352,8245,6593,392,30,1230,107,TX,TX,Inf,-Inf,0
"SHREVEPORT, LA",1967,1545,1545,1029,6,0,510,0,6,20806,20806,16289,79,0,4438,0,LA,LA,Inf,-Inf,0
"SIOUX CITY, IOWA-NEBR",1967,551,551,317,2,11,221,0,11,7113,7113,5454,17,219,1422,0,IA-NE,IA,Inf,-Inf,0
"SIOUX FALLS, SDAK",1967,366,366,157,12,3,194,0,9,4079,4079,2375,106,30,1568,0,SD,SD,1974,-7,0
"SOUTH BEND, IND",1967,1065,1065,739,2,11,313,0,23,16192,16192,14199,25,84,1884,0,IN,IN,1972,-5,0
"SPOKANE, WASH",1967,1452,1452,924,122,36,370,0,20,23016,23016,19044,1635,400,1937,0,WA,WA,1971,-4,0
"SPRINGFIELD, ILL",1967,950,750,456,10,40,244,200,6,14875,12208,8660,130,361,3057,2667,IL,IL,Inf,-Inf,0
"SPRINGFIELD, MO",1967,1274,1274,975,24,17,258,0,7,14490,14490,12292,215,96,1888,0,MO,MO,Inf,-Inf,0
"SPRINGFIELD, OHIO",1967,1623,1473,1033,10,12,418,150,14,15524,15678,12726,88,123,2741,1848,OH,OH,Inf,-Inf,0
"SPRINGFIELD-CHICOPEE-HOLYOKE, MASS-CONN",1967,2579,2379,1463,100,12,804,200,30,33259,30312,23914,688,71,5639,2947,MA-CT,MA,1973,-6,0
"STAMFORD, CONN",1967,1466,1466,759,72,32,603,0,17,33487,33487,24352,1033,338,7763,0,CT,CT,1973,-6,0
"STEUBENVILLE-WEIRTON, OHIO-WVA",1967,287,287,247,2,16,22,0,3,4545,4545,4217,18,130,180,0,OH-WV,OH,Inf,-Inf,0
"STOCKTON, CALIF",1967,2048,2048,1180,122,206,540,0,22,28122,28122,20374,1310,2157,4281,0,CA,CA,1970,-3,0
"SYRACUSE, NY",1967,4492,4492,1619,54,23,2796,0,235,47598,47598,27191,521,298,19589,0,NY,NY,1975,-8,0
"TACOMA, WASH",1967,5055,4978,2906,258,213,1601,77,89,58983,58012,43353,2118,1639,10902,970,WA,WA,1971,-4,0
"TALLAHASSEE, FLA",1967,1697,1697,651,12,98,936,0,57,17987,17987,10924,66,540,6458,0,FL,FL,Inf,-Inf,0
"TAMPA-ST PETERSBURG, FLA",1967,10686,10686,5625,483,193,4385,0,152,113919,113919,77421,2854,1465,32180,0,FL,FL,Inf,-Inf,0
"TERRE HAUTE, IND",1967,219,139,55,10,55,19,80,3,3957,2217,1436,196,157,429,1740,IN,IN,1972,-5,0
"TEXARKANA, TEX-ARK",1967,388,388,305,2,18,63,0,3,3772,3772,3302,10,110,350,0,TX-AR,TX,Inf,-Inf,0
"TOLEDO, OHIO-MICH",1967,3728,3728,1989,264,112,1363,0,67,47753,47753,36307,2352,1285,7809,0,OH-MI,OH,Inf,-Inf,0
"TOPEKA, KANS",1967,961,961,403,16,3,539,0,41,12482,12482,7192,199,20,5071,0,KS,KS,Inf,-Inf,0
"TRENTON, NJ",1967,1428,1428,872,40,0,516,0,19,21352,21352,17245,421,0,3687,0,NJ,NJ,1989,-22,0
"TUCSON, ARIZ",1967,1584,1584,1307,38,57,182,0,13,27467,27467,24860,378,491,1738,0,AZ,AZ,Inf,-Inf,0
"TULSA, OKLA",1967,4395,4395,2287,158,297,1653,0,176,47068,47068,31761,1778,1860,11669,0,OK,OK,Inf,-Inf,0
"TUSCALOOSA, ALA",1967,753,753,428,6,8,311,0,11,9340,9340,7221,50,25,2044,0,AL,AL,Inf,-Inf,0
"TYLER, TEX",1967,280,280,207,2,32,39,0,1,4723,4723,3895,4,425,400,0,TX,TX,Inf,-Inf,0
"UTICA-ROME, NY",1967,464,464,424,4,3,33,0,3,7837,7837,6384,37,16,1400,0,NY,NY,1975,-8,0
"VALLEJO-FAIRFIELD-NAPA, CALIF",1967,2507,2507,1440,98,377,592,0,68,35337,35337,26411,1012,2986,4928,0,CA,CA,1970,-3,0
"WACO, TEX",1967,447,297,248,20,29,0,150,0,6777,5053,4656,197,200,0,1724,TX,TX,Inf,-Inf,0
"WASHINGTON, DC-MD-VA",1967,26020,25945,14052,34,21,11838,75,277,327514,326524,225275,468,101,100681,990,DC-MD-VA,DC,1973,-6,0
"WATERBURY, CONN",1967,1217,1217,840,26,93,258,0,13,15801,15801,13346,237,595,1624,0,CT,CT,1973,-6,0
"WATERLOO-CEDAR FALLS, IOWA",1967,740,740,537,54,3,146,0,16,9074,9074,7427,530,8,1109,0,IA,IA,Inf,-Inf,0
"WEST PALM BEACH-BOCA RATON, FLA",1967,4839,4839,1796,262,197,2584,0,129,63322,63322,33403,1705,1553,26661,0,FL,FL,Inf,-Inf,0
"WHEELING, WVA-OHIO",1967,186,186,152,0,18,16,0,3,3352,3352,2792,0,430,130,0,WV-OH,WV,Inf,-Inf,0
"WICHITA, KANS",1967,1910,1910,1163,70,12,665,0,36,30153,30153,23155,902,120,5977,0,KS,KS,Inf,-Inf,0
"WICHITA FALLS, TEX",1967,413,413,249,2,21,141,0,3,5295,5295,3818,115,190,1172,0,TX,TX,Inf,-Inf,0
"WILKES-BARRE-HAZELTON, PA",1967,826,826,782,0,3,41,0,2,11841,11841,11626,0,25,191,0,PA,PA,Inf,-Inf,0
"WILMINGTON, DEL-NJ-MD",1967,4795,4795,2442,0,4,2349,0,124,49102,49102,35502,0,8,13593,0,DEL-NJ-MD,DE,1973,-6,0
"WILMINGTON, NC",1967,1245,1245,773,12,43,417,0,49,14262,14262,10880,101,382,2900,0,NC,NC,1971,-4,0
"WORCESTER, MASS",1967,1392,1193,850,22,4,317,199,30,17893,15345,12428,234,26,2658,2547,MA,MA,1977,-10,0
"YORK, PA",1967,1336,1336,919,10,27,380,0,21,17759,17759,15346,135,256,2022,0,PA,PA,Inf,-Inf,0
"YOUNGSTOWN-WARREN, OHIO",1967,2415,2065,1353,38,89,585,350,25,37248,31907,25282,365,738,5522,5342,OH,OH,Inf,-Inf,0
"ABILENE, TEX",1968,92,92,84,0,0,8,0,1,1858,1858,1816,0,0,41,0,TX,TX,Inf,-Inf,0
"AKRON, OHIO",1968,5259,5259,2417,352,80,2410,0,72,85106,85106,55673,4398,784,24251,0,OH,OH,Inf,-Inf,0
"ALBANY, GA",1968,893,893,581,126,78,108,0,13,10285,10285,8380,502,648,755,0,GA,GA,1991,-23,0
"ALBANY-SCHENECTADY-TROY, NY",1968,3794,3794,2119,218,80,1377,0,70,56151,56151,40666,2595,696,12194,0,NY,NY,1975,-7,0
"ALBUQUERQUE, NMEX",1968,2249,2249,1155,0,41,1053,0,20,25606,25606,16869,0,461,8276,0,NM,NM,Inf,-Inf,0
"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ",1968,2854,2854,1806,6,20,1022,0,85,42603,42603,34532,53,407,7611,0,PA-NJ,PA,1989,-21,0
"ALTOONA, PA",1968,205,205,151,10,8,36,0,2,2652,2652,2204,65,57,325,0,PA,PA,Inf,-Inf,0
"AMARILLO, TEX",1968,574,574,293,0,0,281,0,6,9714,9714,7534,0,0,2180,0,TX,TX,Inf,-Inf,0
"ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF",1968,23308,23308,13136,292,1743,8137,0,562,420411,420411,317485,4200,20513,78212,0,CA,CA,1970,-2,0
"ANDERSON, IND",1968,627,627,493,30,14,90,0,2,9284,9284,8585,266,73,360,0,IN,IN,1972,-4,0
"ANN ARBOR, MICH",1968,2529,2529,1194,2,12,1321,0,148,41051,41051,27359,20,186,13486,0,MI,MI,Inf,-Inf,0
"ASHEVILLE, NC",1968,357,357,189,2,8,158,0,1,4325,4325,2939,10,76,1300,0,NC,NC,1971,-3,0
"ATLANTA, GA",1968,24376,23938,10102,258,373,13205,438,891,284062,276970,160486,1977,3098,111409,7091,GA,GA,1991,-23,0
"ATLANTIC CITY, NJ",1968,1137,1137,728,162,0,247,0,6,12758,12758,10377,1211,0,1170,0,NJ,NJ,1989,-21,0
"AUGUSTA, GA-SC",1968,2463,2463,1647,12,42,762,0,62,24924,24924,20408,138,263,4116,0,GA-SC,GA,1991,-23,0
"AUSTIN, TEX",1968,6125,6125,1769,438,327,3591,0,85,81071,81071,39863,6052,3196,31960,0,TX,TX,Inf,-Inf,0
"BAKERSFIELD, CALIF",1968,2059,1999,1260,76,274,389,60,36,29890,29005,22381,659,2638,3327,885,CA,CA,1970,-2,0
"BALTIMORE, MD",1968,14340,13911,6667,56,29,7159,429,348,189096,182804,126700,538,274,55292,6292,MD,MD,1973,-5,0
"BATON ROUGE, LA",1968,4271,4271,2150,162,118,1841,0,44,49751,49751,34967,1524,745,12515,0,LA,LA,Inf,-Inf,0
"BAY CITY, MICH",1968,810,810,546,46,10,208,0,6,11821,11821,9739,345,99,1638,0,MI,MI,Inf,-Inf,0
"BEAUMONT-PORT ARTHUR-ORANGE, TEX",1968,1067,1067,619,22,11,415,0,12,13236,13236,10352,174,76,2635,0,TX,TX,Inf,-Inf,0
"BILLINGS, MONT",1968,200,200,134,10,23,33,0,3,3334,3334,2809,80,179,267,0,MT,MT,1971,-3,0
"BILOXI-GULFPORT, MISS",1968,1137,857,317,18,12,510,280,31,11242,6870,3958,121,75,2716,4372,MS,MS,Inf,-Inf,0
"BINGHAMTON, NY-PA",1968,819,819,538,50,8,223,0,28,14344,14344,12001,506,95,1742,0,NY-PA,NY,1975,-7,0
"BIRMINGHAM, ALA",1968,5810,5810,2843,26,49,2892,0,142,66184,66184,46064,271,365,19485,0,AL,AL,Inf,-Inf,0
"BLOOMINGTON-NORMAL, ILL",1968,715,715,427,10,58,220,0,19,10268,10268,8070,140,579,1480,0,IL,IL,Inf,-Inf,0
"BOISE CITY, IDAHO",1968,345,345,128,12,42,163,0,20,4722,4722,2824,129,430,1339,0,ID,ID,Inf,-Inf,0
"BOSTON, MASS",1968,15672,14519,4986,324,125,9084,1153,409,218850,202001,103952,3338,1074,93637,16849,MA,MA,1977,-9,0
"BRIDGEPORT, CONN",1968,2780,2780,1247,86,4,1443,0,54,41047,41047,28655,1032,36,11324,0,CT,CT,1973,-5,0
"BROCKTON, MASS",1968,1327,1263,786,8,4,465,64,14,15314,14525,10294,88,25,4118,789,MA,MA,1977,-9,0
"BROWNSVILLE-HARLINGEN-SAN BENITO, TEX",1968,705,513,273,0,0,240,192,33,5659,3933,2408,0,0,1525,1726,TX,TX,Inf,-Inf,0
"BUFFALO, NY",1968,7169,6869,3533,674,166,2496,300,159,94171,89606,60661,5822,1439,21683,4565,NY,NY,1975,-7,0
"CANTON, OHIO",1968,2357,2227,1260,226,119,622,130,55,38383,36152,25329,2728,1496,6599,2231,OH,OH,Inf,-Inf,0
"CEDAR RAPIDS, IOWA",1968,1662,1662,899,34,24,705,0,76,17515,17515,12487,309,122,4598,0,IA,IA,Inf,-Inf,0
"CHAMPAIGN-URBANA-RANTOUL, ILL",1968,1195,1195,233,24,58,880,0,32,11377,11377,4253,294,342,6489,0,IL,IL,Inf,-Inf,0
"CHARLESTON-NORTH CHARLESTON, SC",1968,2368,2368,1438,62,64,804,0,82,24442,24442,18382,347,306,5406,0,SC,SC,Inf,-Inf,0
"CHARLESTON, WVA",1968,709,559,260,6,20,273,150,6,9855,7731,5589,62,172,1908,2125,WV,WV,Inf,-Inf,0
"CHARLOTTE-GASTONIA, NC",1968,5373,5373,2827,178,170,2198,0,269,69198,69198,48187,1369,1201,18441,0,NC,NC,1971,-3,0
"CHATTANOOGA, TENN-GA",1968,2390,2390,1192,308,49,841,0,13,28474,28474,18587,2320,323,7244,0,TN-GA,TN,1991,-23,0
"CHICAGO, ILL",1968,59923,58013,24033,964,1213,31803,1910,1242,911937,886495,539765,12761,14247,319722,25442,IL,IL,Inf,-Inf,0
"CINCINNATI, OHIO-KY-IND",1968,9040,9040,4191,94,81,4674,0,249,119561,119561,81914,1045,693,35909,0,OH-KY-IN,OH,1972,-4,0
"CLEVELAND, OHIO",1968,15333,14341,5739,132,55,8415,992,161,252973,237669,149911,1741,660,85358,15304,OH,OH,Inf,-Inf,0
"COLORADO SPRINGS, COLO",1968,4379,4379,2338,68,40,1933,0,106,43285,43285,28997,529,254,13506,0,CO,CO,Inf,-Inf,0
"COLUMBIA, SC",1968,2703,2503,1821,46,48,588,200,70,36304,33736,26009,518,274,6935,2568,SC,SC,Inf,-Inf,0
"COLUMBUS, GA-ALA",1968,1754,1554,1179,32,64,279,200,16,23625,20442,18320,215,367,1540,3183,GA-AL,GA,1991,-23,0
"COLUMBUS, OHIO",1968,9801,9801,4212,386,723,4480,0,398,133711,133711,85012,4859,7679,36160,0,OH,OH,Inf,-Inf,0
"CORPUS CHRISTI, TEX",1968,2972,2972,974,20,7,1971,0,252,28501,28501,13467,147,45,14842,0,TX,TX,Inf,-Inf,0
"DALLAS-FORT WORTH, TEX",1968,43639,43388,14131,636,471,28150,251,683,417230,413783,229055,7871,4337,172521,3447,TX,TX,Inf,-Inf,0
"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL",1968,2976,2976,1867,164,51,894,0,54,43044,43044,31886,1822,619,8717,0,IA-IL,IA,Inf,-Inf,0
"DAYTON, OHIO",1968,7374,7374,4259,78,404,2633,0,207,108422,108422,84553,559,3296,20014,0,OH,OH,Inf,-Inf,0
"DECATUR, ILL",1968,465,465,425,0,0,40,0,4,10159,10159,9309,0,0,850,0,IL,IL,Inf,-Inf,0
"DENVER-BOULDER, COLO",1968,14478,14478,7119,308,232,6819,0,324,174447,174447,118956,2965,2735,49791,0,CO,CO,Inf,-Inf,0
"DES MOINES, IOWA",1968,2782,2782,1203,246,19,1314,0,97,42309,42309,26030,3079,210,12991,0,IA,IA,Inf,-Inf,0
"DETROIT, MICH",1968,29122,28723,13837,152,577,14157,399,889,449551,443141,289105,1851,7234,144951,6410,MI,MI,Inf,-Inf,0
"DUBUQUE, IOWA",1968,254,254,203,18,20,13,0,2,3472,3472,3070,169,121,112,0,IA,IA,Inf,-Inf,0
"DULUTH-SUPERIOR, MINN-WIS",1968,426,365,302,10,16,37,61,2,7271,6316,5736,94,186,300,955,MN-WI,MN,1972,-4,0
"RALEIGH-DURHAM, NC",1968,5601,5484,2536,180,320,2448,117,156,70900,69678,47909,1319,2013,18438,1222,NC,NC,1971,-3,0
"EL PASO, TEX",1968,2893,2893,1665,54,19,1155,0,98,37836,37836,28551,558,118,8610,0,TX,TX,Inf,-Inf,0
"ERIE, PA",1968,825,825,712,46,30,37,0,6,12425,12425,11369,405,293,358,0,PA,PA,Inf,-Inf,0
"EUGENE-SPRINGFIELD, OREG",1968,1976,1976,1146,338,3,489,0,39,25462,25462,18566,3396,42,3458,0,OR,OR,Inf,-Inf,0
"EVANSVILLE, IND-KY",1968,1233,1233,726,86,24,397,0,56,14419,14419,9974,947,453,3045,0,IN-KY,IN,1972,-4,0
"FALL RIVER, MASS-RI",1968,1020,659,541,14,35,69,361,6,14288,9598,8731,132,224,512,4690,MA-RI,MA,1977,-9,0
"FARGO-MOORHEAD, ND-MN",1968,1041,1041,357,4,24,656,0,38,14617,14617,7880,40,242,6455,0,ND-MN,ND,1973,-5,0
"FAYETTEVILLE, NC",1968,524,524,366,10,0,148,0,16,7605,7605,6755,67,0,784,0,NC,NC,1971,-3,0
"FITCHBURG-LEOMINSTER, MASS",1968,645,545,249,4,4,288,100,12,7639,6227,3448,22,28,2729,1412,MA,MA,1977,-9,0
"FLINT, MICH",1968,3857,3857,2761,48,81,967,0,81,55117,55117,47180,495,788,6655,0,MI,MI,Inf,-Inf,0
"FORT LAUDERDALE-HOLLYWOOD, FLA",1968,22891,22891,6014,1042,564,15271,0,443,334378,334378,116590,10601,3145,204041,0,FL,FL,Inf,-Inf,0
"FORT SMITH, ARK-OKLA",1968,458,458,335,4,16,103,0,9,7523,7523,6904,28,100,491,0,AR-OK,AR,Inf,-Inf,0
"FORT WAYNE, IND",1968,1753,1753,1022,14,4,713,0,81,27974,27974,22015,160,32,5767,0,IN,IN,1972,-4,0
"FRESNO, CALIF",1968,2940,2840,1628,208,337,667,100,79,34211,33086,23939,1873,2396,4877,1126,CA,CA,1970,-2,0
"GADSDEN, ALA",1968,283,283,215,0,4,64,0,8,3343,3343,2938,0,25,380,0,AL,AL,Inf,-Inf,0
"GALVESTON-TEXAS CITY, TEX",1968,1178,1178,549,8,20,601,0,37,13091,13091,9100,72,149,3770,0,TX,TX,Inf,-Inf,0
"GARY-HAMMOND-EAST CHICAGO, IND",1968,4054,4054,2428,152,76,1398,0,76,58157,58157,44436,1576,670,11475,0,IN,IN,1972,-4,0
"GRAND RAPIDS, MICH",1968,4744,4744,2360,352,73,1959,0,65,60044,60044,42705,3955,578,12806,0,MI,MI,Inf,-Inf,0
"GREAT FALLS, MONT",1968,163,163,115,0,4,44,0,3,1988,1988,1585,0,41,362,0,MT,MT,1971,-3,0
"GREEN BAY, WIS",1968,1446,1446,1002,222,72,150,0,18,22560,22560,18473,2449,676,962,0,WI,WI,1972,-4,0
"GREENSBORO-WINSTON-SALEM-HIGH POINT, NC",1968,6503,6146,3573,66,77,2430,357,89,78224,74021,54684,454,435,18449,4203,NC,NC,1971,-3,0
"GREENVILLE, SC",1968,2443,2443,1809,158,23,453,0,19,30790,30790,27162,781,73,2774,0,SC,SC,Inf,-Inf,0
"HAMILTON-MIDDLETOWN, OHIO",1968,1780,1780,870,22,217,671,0,32,25060,25060,17147,199,1599,6115,0,OH,OH,Inf,-Inf,0
"HARRISBURG, PA",1968,2240,2240,1144,26,16,1054,0,64,27607,27607,20393,211,133,6870,0,PA,PA,Inf,-Inf,0
"HARTFORD, CONN",1968,6367,6067,2533,92,19,3423,300,174,73876,69853,48082,802,176,20793,4023,CT,CT,1973,-5,0
"HONOLULU, HAWAII",1968,9586,9586,3680,328,225,5353,0,196,160382,160382,66710,3803,3004,86865,0,HI,HI,1974,-6,0
"HOUSTON, TEX",1968,21411,21411,5976,219,223,14993,0,1025,224790,224790,111799,1659,1465,109867,0,TX,TX,Inf,-Inf,0
"HUNTINGTON-ASHLAND, WVA-KY-OHIO",1968,722,562,311,2,15,234,160,8,11582,9226,4488,12,105,4621,2356,WV-KY-OH,WV,Inf,-Inf,0
"HUNTSVILLE, ALA",1968,792,792,677,0,15,100,0,11,10637,10637,10425,0,35,177,0,AL,AL,Inf,-Inf,0
"INDIANAPOLIS, IND",1968,10265,10265,4062,296,186,5721,0,351,112916,112916,70356,2488,2815,37257,0,IN,IN,1972,-4,0
"JACKSON, MICH",1968,927,782,664,16,7,95,145,3,12920,11058,9880,178,50,950,1862,MI,MI,Inf,-Inf,0
"JACKSON, MISS",1968,1532,1532,1068,42,23,399,0,44,19371,19371,16420,188,108,2655,0,MS,MS,Inf,-Inf,0
"JACKSONVILLE, FLA",1968,5081,5006,1646,54,114,3192,75,259,39129,38092,15434,200,413,22046,1037,FL,FL,Inf,-Inf,0
"JERSEY CITY, NJ",1968,1274,1274,86,434,12,742,0,11,13155,13155,1499,4566,86,7004,0,NJ,NJ,1989,-21,0
"JOHNSTOWN, PA",1968,341,341,224,18,0,99,0,10,5653,5653,4139,189,0,1326,0,PA,PA,Inf,-Inf,0
"KALAMAZOO, MICH",1968,1275,1275,706,16,87,466,0,35,21209,21209,16778,182,859,3391,0,MI,MI,Inf,-Inf,0
"KANSAS CITY, MO-KANS",1968,13323,13323,6080,608,645,5990,0,478,164526,164526,101810,6563,5599,50554,0,MO-KS,MO,Inf,-Inf,0
"KENOSHA, WIS",1968,257,257,169,24,12,52,0,2,3492,3492,2736,221,120,415,0,WI,WI,1972,-4,0
"KNOXVILLE, TENN",1968,3814,3664,1706,64,464,1430,150,107,41744,39864,26361,421,3036,10046,1880,TN,TN,Inf,-Inf,0
"LAFAYETTE-WEST LAFAYETTE, IND",1968,1033,1033,433,288,8,304,0,14,13638,13638,8856,3053,109,1620,0,IN,IN,1972,-4,0
"LAFAYETTE, LA",1968,605,605,377,2,20,206,0,7,8951,8951,7447,8,173,1323,0,LA,LA,Inf,-Inf,0
"LAKE CHARLES, LA",1968,672,672,314,6,11,341,0,35,11364,11364,7334,52,89,3889,0,LA,LA,Inf,-Inf,0
"LANCASTER, PA",1968,1320,1320,739,6,23,552,0,45,18370,18370,14568,49,182,3571,0,PA,PA,Inf,-Inf,0
"LANSING-EAST LANSING, MICH",1968,3892,3892,2402,180,20,1290,0,114,61084,61084,46652,2300,185,11947,0,MI,MI,Inf,-Inf,0
"LAREDO, TEX",1968,169,169,161,0,8,0,0,0,1347,1347,1242,0,105,0,0,TX,TX,Inf,-Inf,0
"LAS VEGAS, NEV",1968,2228,2228,1778,60,12,378,0,29,39646,39646,36632,963,90,1961,0,NV,NV,Inf,-Inf,0
"LAWRENCE-HAVERHILL, MASS-NH",1968,2399,2323,701,28,23,1571,76,118,22732,21603,11985,278,134,9206,1129,MA-NH,MA,1977,-9,0
"LAWTON, OKLA",1968,708,708,522,6,59,121,0,8,9356,9356,8557,34,272,493,0,OK,OK,Inf,-Inf,0
"LEWISTON-AUBURN, MAINE",1968,302,202,191,2,4,5,100,1,4545,3218,3120,20,38,40,1328,MN,MN,1973,-5,0
"LEXINGTON-FAYETTE, KY",1968,2715,2715,988,208,4,1515,0,76,30566,30566,17319,1854,35,11359,0,KY,KY,Inf,-Inf,0
"LIMA, OHIO",1968,379,379,317,15,11,36,0,6,6947,6947,6479,112,61,295,0,OH,OH,Inf,-Inf,0
"LINCOLN, NEBR",1968,1264,1264,501,54,58,651,0,50,14603,14603,7923,669,604,5405,0,NE,NE,Inf,-Inf,0
"LITTLE ROCK-NORTH LITTLE ROCK, ARK",1968,1621,1621,1271,34,36,280,0,17,29810,29810,27452,277,265,1817,0,AR,AR,Inf,-Inf,0
"LORAIN-ELYRIA, OHIO",1968,1705,1705,949,36,19,701,0,48,26397,26397,20057,315,196,5830,0,OH,OH,Inf,-Inf,0
"LOS ANGELES-LONG BEACH, CALIF",1968,33842,33842,14292,634,996,17920,0,967,586914,586914,352373,8519,12373,213648,0,CA,CA,1970,-2,0
"LOUISVILLE, KY-IND",1968,8327,8226,3401,12,57,4756,101,224,88730,87519,53903,70,485,33062,1210,KY-IN,KY,1972,-4,0
"LOWELL, MASS-NH",1968,1894,1854,1101,48,16,689,40,39,22105,21563,16862,433,105,4164,541,MA-NH,MA,1977,-9,0
"LUBBOCK, TEX",1968,802,732,500,22,40,170,70,9,14480,13682,11495,525,200,1462,798,TX,TX,Inf,-Inf,0
"LYNCHBURG, VA",1968,664,664,586,6,4,68,0,7,10865,10865,10026,52,30,757,0,VA,VA,1973,-5,0
"MCALLEN-PHARR-EDINBURG, TEX",1968,772,772,655,22,12,83,0,13,7092,7092,6343,104,105,540,0,TX,TX,Inf,-Inf,0
"MACON, GA",1968,1777,1777,890,178,316,393,0,37,17444,17444,11292,926,1795,3431,0,GA,GA,1991,-23,0
"MADISON, WIS",1968,4145,3899,1589,176,30,2104,246,91,44945,41717,26849,1950,244,12674,3228,WI,WI,1972,-4,0
"MANCHESTER, NH",1968,520,420,347,16,15,42,100,1,7144,5561,5036,141,134,250,1583,NH,NH,Inf,-Inf,0
"MANSFIELD, OHIO",1968,625,625,424,60,19,122,0,13,10417,10417,8570,627,166,1054,0,OH,OH,Inf,-Inf,0
"MEMPHIS, TENN-ARK",1968,8663,8663,3897,360,164,4242,0,252,90835,90835,57978,2127,1088,29641,0,TN-AR,TN,Inf,-Inf,0
"MERIDEN, CONN",1968,388,388,168,0,0,220,0,5,4460,4460,2695,0,0,1764,0,CT,CT,1973,-5,0
"MIAMI, FLA",1968,22857,22761,4733,896,420,16712,96,519,281098,279533,91458,8335,4019,175722,1565,FL,FL,Inf,-Inf,0
"MIDLAND, TEX",1968,252,252,186,10,3,53,0,2,4968,4968,4354,184,120,310,0,TX,TX,Inf,-Inf,0
"MILWAUKEE, WIS",1968,8977,8977,4608,566,126,3677,0,182,138768,138768,93768,6830,1330,36840,0,WI,WI,1972,-4,0
"MINNEAPOLIS-ST PAUL, MN-WI",1968,24021,23506,9052,616,162,13676,515,428,349588,343206,200711,8750,1552,132193,6381,MN-WI,MN,1972,-4,0
"MOBILE, ALA",1968,1404,1332,912,52,28,340,72,26,13434,12526,9898,273,156,2199,907,AL,AL,Inf,-Inf,0
"MONROE, LA",1968,419,419,268,0,35,116,0,3,5906,5906,4644,0,229,1033,0,LA,LA,Inf,-Inf,0
"MONTGOMERY, ALA",1968,2107,1606,972,16,4,614,501,35,23032,16990,12851,64,33,4043,6042,AL,AL,Inf,-Inf,0
"MUNCIE, IND",1968,567,467,296,24,4,143,100,6,8140,6301,4905,292,38,1066,1839,IN,IN,1972,-4,0
"MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS, MICH",1968,942,852,532,0,12,308,90,21,12327,11147,8242,0,157,2748,1180,MI,MI,Inf,-Inf,0
"NASHVILLE-DAVIDSON, TENN",1968,7586,7191,2736,256,90,4109,395,65,68486,64153,35315,1620,347,26870,4333,TN,TN,Inf,-Inf,0
"NEWARK, NJ",1968,6040,5860,3434,238,41,2147,180,65,98982,96797,74611,2547,325,19314,2185,NJ,NJ,1989,-21,0
"NEW BEDFORD, MASS",1968,560,560,483,2,8,67,0,2,7323,7323,6909,9,30,375,0,MA,MA,1977,-9,0
"NEW BRITAIN, CONN",1968,1267,1267,466,126,4,671,0,43,11651,11651,5857,1039,40,4716,0,CT,CT,1973,-5,0
"NEW HAVEN-WEST HAVEN, CONN",1968,2714,2714,973,48,40,1653,0,107,29226,29226,17159,439,281,11347,0,CT,CT,1973,-5,0
"NEW LONDON-GROTON-NORWICH, CONN",1968,1002,902,656,6,16,224,100,17,14554,13124,11288,70,124,1642,1430,CT,CT,1973,-5,0
